Participant,Tool,Task,Total Score
P1,ChatGPT,Task1,7
P2,Understand,Task1,6.3
P3,CodeMap,Task1,8
P4,ChatGPT,Task1,7.8
P5,Understand,Task1,7.133
P6,CodeMap,Task1,6.467
P7,ChatGPT,Task1,6.3
P8,Understand,Task1,2.9
P9,CodeMap,Task1,7.467
P10,ChatGPT,Task1,8.6
P1,Understand,Task2,4.417
P2,CodeMap,Task2,5.417
P3,ChatGPT,Task2,4.083
P4,CodeMap,Task2,6.917
P5,CodeMap,Task2,6.417
P6,ChatGPT,Task2,7.333
P7,Understand,Task2,1.5
P8,CodeMap,Task2,5
P9,ChatGPT,Task2,5.917
P10,Understand,Task2,5.833
P1,CodeMap,Task3,5.667
P2,ChatGPT,Task3,6.583
P3,Understand,Task3,6.167
P4,Understand,Task3,6.917
P5,ChatGPT,Task3,7.667
P6,Understand,Task3,3.583
P7,CodeMap,Task3,4.75
P8,ChatGPT,Task3,5.583
P9,Understand,Task3,3.833
P10,CodeMap,Task3,7.083
