User,Total Score,Question 1 Score,Question 2 Score,Question 3 Score,Question 4 Score,Question 5 Score,Question 6 Score,Question 7 Score,Question 8 Score,Question 9 Score
P1,5.667,1,0.5,1,0.667,0,1,1,0,0.5
P2,6.583,1,1,0.5,0.667,0.667,1,1,0,0.75
P3,6.167,1,0,1,0.667,0,1,1,1,0.5
P4,6.917,1,0,1,1,0.667,1,1,1,0.25
P5,7.667,1,0.5,0.5,1,1,1,0.667,1,1
P6,3.583,0,0.5,0.5,0.333,0.667,1,0.333,0,0.25
P7,4.75,1,0,0,0.333,0.667,0,1,1,0.75
P8,5.583,1,0.5,1,0.333,1,1,0,0,0.75
P9,3.833,1,0,0.5,0.333,0,1,1,0,0
P10,7.083,1,1,1,1,0.333,1,1,0,0.75
